!ORDERID,!ITEMID,!PRODUCTID,!PRODUCTCODE,!PRODUCT,!PRICE,!AMOUNT,!PROVIDER,!OPTION_CLASS,!OPTION_VALUE,!EXTRA_DATA
1,1,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
2,2,9,3570,No Ruffled Feathers Decaf,10.59,5,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""5"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""47.65"";s:8:""subtotal"";s:5:""47.65"";}}"
3,3,7,3552,Flying Free French Roast,10.49,12,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:6:""107.00"";s:8:""subtotal"";s:6:""107.00"";}}"
4,4,9,3570,No Ruffled Feathers Decaf,10.59,5,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""5"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""52.95"";s:8:""subtotal"";s:5:""52.95"";}}"
5,5,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
6,6,8,3514,Morning Birdsong Breakfast Blend,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
7,7,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
8,8,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
8,9,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
8,10,9,3570,No Ruffled Feathers Decaf,11.09,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""6"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""11.09"";s:8:""subtotal"";s:5:""11.09"";}}"
9,11,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";d:10.49;s:16:""discounted_price"";d:8.3900000000000006;s:8:""subtotal"";d:8.3900000000000006;}}"
9,13,9,3570,No Ruffled Feathers Decaf,11.09,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""6"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";d:11.09;s:16:""discounted_price"";d:35.490000000000002;s:8:""subtotal"";d:35.490000000000002;}}"
